FoT        2707
DoS        2660
DoS_Gas    2515
OaU        1424
BP          694
Name: label, dtype: int64
Number of abnormal: 10000
106
Epoch 1, Loss: 0.41509717347663505, Res_Loss: 0.6749392475846202, Clf_Loss: 0.15525510079812171
Epoch 2, Loss: 0.37636534479814904, Res_Loss: 0.6581198278554651, Clf_Loss: 0.09461086304035297
Epoch 3, Loss: 0.35975421150756437, Res_Loss: 0.6578045226633549, Clf_Loss: 0.061703901174803115
Epoch 4, Loss: 0.35783261979042097, Res_Loss: 0.657147386046343, Clf_Loss: 0.05851785381606152
Epoch 5, Loss: 0.6368214067851388, Res_Loss: 0.6674942492052566, Clf_Loss: 0.6061485651339036
Epoch 6, Loss: 0.6555412249682948, Res_Loss: 0.6679535552339498, Clf_Loss: 0.6431288971500688
Epoch 7, Loss: 0.6546159539978171, Res_Loss: 0.6677034237357073, Clf_Loss: 0.6415284825705512
Epoch 8, Loss: 0.6531351870575617, Res_Loss: 0.6673633352268574, Clf_Loss: 0.6389070362892262
Epoch 9, Loss: 0.6597761285686216, Res_Loss: 0.6674742214381695, Clf_Loss: 0.6520780367820069
Epoch 10, Loss: 0.6531354149933472, Res_Loss: 0.6666543535714926, Clf_Loss: 0.639616476555983
Epoch 11, Loss: 0.6564864233829254, Res_Loss: 0.6728574834590735, Clf_Loss: 0.6401153633176068
Epoch 12, Loss: 0.6582419167077819, Res_Loss: 0.6737042190723641, Clf_Loss: 0.6427796154261328
Epoch 13, Loss: 0.6560881881173267, Res_Loss: 0.6733307508361894, Clf_Loss: 0.6388456236657708
Epoch 14, Loss: 0.6589925119350123, Res_Loss: 0.6737914007416991, Clf_Loss: 0.644193627481717
Epoch 15, Loss: 0.6551625722542752, Res_Loss: 0.6697706507388935, Clf_Loss: 0.6405544956539606
Epoch 16, Loss: 0.6543402987164121, Res_Loss: 0.6662535341673119, Clf_Loss: 0.6424270591287072
Epoch 17, Loss: 0.6503810358428678, Res_Loss: 0.6650240899518479, Clf_Loss: 0.6357379824919409
Epoch 18, Loss: 0.6499633278784364, Res_Loss: 0.6628729340641998, Clf_Loss: 0.6370537204472998
Epoch 19, Loss: 0.6494057670582173, Res_Loss: 0.6611319733567016, Clf_Loss: 0.6376795613770049
Epoch 20, Loss: 0.6485659593586311, Res_Loss: 0.6607165307153103, Clf_Loss: 0.6364153887275174
Epoch 21, Loss: 0.6492235622433729, Res_Loss: 0.6605211116893347, Clf_Loss: 0.6379260154072802
Epoch 22, Loss: 0.6488033587676149, Res_Loss: 0.6585578227978807, Clf_Loss: 0.6390488919866986
Epoch 23, Loss: 0.6425959875937118, Res_Loss: 0.6490725112515826, Clf_Loss: 0.6361194642336476
Epoch 24, Loss: 0.6441999549089477, Res_Loss: 0.6493180045901343, Clf_Loss: 0.6390819032676518
Epoch 25, Loss: 0.6431089806868586, Res_Loss: 0.6496854746757552, Clf_Loss: 0.6365324916794549
Epoch 26, Loss: 0.6440780984974185, Res_Loss: 0.6485693487663602, Clf_Loss: 0.6395868471563729
Epoch 27, Loss: 0.6413450471537058, Res_Loss: 0.6469405222424242, Clf_Loss: 0.6357495704730756
Epoch 28, Loss: 0.641550136080315, Res_Loss: 0.6468507449120976, Clf_Loss: 0.6362495282989775
Epoch 29, Loss: 0.6413431451764218, Res_Loss: 0.646658908402504, Clf_Loss: 0.6360273841378647
Epoch 30, Loss: 0.646186516988416, Res_Loss: 0.6472367117571276, Clf_Loss: 0.6451363251436242
Epoch 31, Loss: 0.6432520069701727, Res_Loss: 0.6444569666718327, Clf_Loss: 0.6420470449510355
Epoch 32, Loss: 0.6422590868071069, Res_Loss: 0.6437816768018312, Clf_Loss: 0.6407364993031288
Epoch 33, Loss: 0.6394838825907818, Res_Loss: 0.6435660695613816, Clf_Loss: 0.6354016939741235
Epoch 34, Loss: 0.6408086986995714, Res_Loss: 0.6453180382418078, Clf_Loss: 0.6362993613015427
Epoch 35, Loss: 0.6447371839610643, Res_Loss: 0.6473034186245397, Clf_Loss: 0.6421709516692127
Epoch 36, Loss: 0.6412943377224511, Res_Loss: 0.6442472456499587, Clf_Loss: 0.6383414311486102
Epoch 37, Loss: 0.6397484404056571, Res_Loss: 0.6445031190334365, Clf_Loss: 0.6349937646368216
Epoch 38, Loss: 0.6394759739727475, Res_Loss: 0.6439298727484637, Clf_Loss: 0.6350220731394582
Epoch 39, Loss: 0.6390242649372234, Res_Loss: 0.6434441214037496, Clf_Loss: 0.6346044083840625
Epoch 40, Loss: 0.6392691789498163, Res_Loss: 0.6434619970792947, Clf_Loss: 0.6350763595966232
Epoch 41, Loss: 0.6405641115162262, Res_Loss: 0.6433319965767306, Clf_Loss: 0.637796224896298
Epoch 42, Loss: 0.6390806864513907, Res_Loss: 0.643035255199255, Clf_Loss: 0.6351261204325183
Epoch 43, Loss: 0.6420241313618283, Res_Loss: 0.6466674016312112, Clf_Loss: 0.6373808573346672
Epoch 44, Loss: 0.6402942957573159, Res_Loss: 0.6457941109357879, Clf_Loss: 0.634794480513868
Epoch 45, Loss: 0.6394381677342016, Res_Loss: 0.6452616398590941, Clf_Loss: 0.6336146959125303
Epoch 46, Loss: 0.6382725286449111, Res_Loss: 0.6420980922357981, Clf_Loss: 0.6344469664076906
Epoch 47, Loss: 0.6380200434562772, Res_Loss: 0.6418955075706161, Clf_Loss: 0.6341445846483111
Epoch 48, Loss: 0.6379777262377184, Res_Loss: 0.6404730527726716, Clf_Loss: 0.635482395197763
Epoch 49, Loss: 0.6393366193528786, Res_Loss: 0.6400785195792831, Clf_Loss: 0.6385947176861728
Epoch 50, Loss: 0.6370481522537248, Res_Loss: 0.6396202652953392, Clf_Loss: 0.6344760400892864
Epoch 51, Loss: 0.6365632635736188, Res_Loss: 0.639408873177545, Clf_Loss: 0.633717650119865
Epoch 52, Loss: 0.6371078537993653, Res_Loss: 0.6392326099408228, Clf_Loss: 0.6349830970189773
Epoch 53, Loss: 0.6362913091515385, Res_Loss: 0.6393539714085501, Clf_Loss: 0.6332286469378444
Epoch 54, Loss: 0.6398572311844937, Res_Loss: 0.639510493032461, Clf_Loss: 0.6402039719463954
Epoch 55, Loss: 0.6363928679290206, Res_Loss: 0.6395586626820786, Clf_Loss: 0.6332270764355916
Epoch 56, Loss: 0.6372152683866579, Res_Loss: 0.6393779264979584, Clf_Loss: 0.6350526083477361
Epoch 57, Loss: 0.6391092714268801, Res_Loss: 0.6394481917973175, Clf_Loss: 0.6387703507748801
Epoch 58, Loss: 0.6381693829803966, Res_Loss: 0.6399984416920085, Clf_Loss: 0.6363403225252622
Epoch 59, Loss: 0.6388195225492467, Res_Loss: 0.6399884399806344, Clf_Loss: 0.6376506057026428
Epoch 60, Loss: 0.6387073474741259, Res_Loss: 0.6396157419265702, Clf_Loss: 0.6377989536931001
Epoch 61, Loss: 0.6414307350682658, Res_Loss: 0.6476735140868398, Clf_Loss: 0.6351879560984238
Epoch 62, Loss: 0.6449028729179571, Res_Loss: 0.655066900128542, Clf_Loss: 0.6347388488695372
Epoch 63, Loss: 0.6447083793233993, Res_Loss: 0.6534617697430212, Clf_Loss: 0.635954984420434
Epoch 64, Loss: 0.6431681333586227, Res_Loss: 0.653420336197975, Clf_Loss: 0.6329159315805449
Epoch 65, Loss: 0.6426526603483876, Res_Loss: 0.6530058836174566, Clf_Loss: 0.6322994361155082
Epoch 66, Loss: 0.6426824103434419, Res_Loss: 0.6502337648078452, Clf_Loss: 0.6351310611204353
Epoch 67, Loss: 0.6364466587817946, Res_Loss: 0.6394895733615686, Clf_Loss: 0.6334037483929721
Epoch 68, Loss: 0.6371781184922817, Res_Loss: 0.6393020038687905, Clf_Loss: 0.6350542336139221
Epoch 69, Loss: 0.6359483957463918, Res_Loss: 0.6388968049093734, Clf_Loss: 0.6329999822516774
Epoch 70, Loss: 0.635462055199368, Res_Loss: 0.6390184802544672, Clf_Loss: 0.6319056284765519
Epoch 71, Loss: 0.6364112443528896, Res_Loss: 0.6385806210685608, Clf_Loss: 0.6342418686443463
Epoch 72, Loss: 0.6355769113572531, Res_Loss: 0.6385021812694017, Clf_Loss: 0.6326516417591551
Epoch 73, Loss: 0.6363573777814244, Res_Loss: 0.6384782495713511, Clf_Loss: 0.6342365076375562
Epoch 74, Loss: 0.6363733286514531, Res_Loss: 0.6387811312668545, Clf_Loss: 0.6339655254945852
Epoch 75, Loss: 0.6372601043346316, Res_Loss: 0.6387166380882263, Clf_Loss: 0.6358035703319623
Epoch 76, Loss: 0.6356222808880861, Res_Loss: 0.6387940093355123, Clf_Loss: 0.6324505496358629
Epoch 77, Loss: 0.6361726528076932, Res_Loss: 0.6388152284157831, Clf_Loss: 0.6335300831124187
Epoch 78, Loss: 0.6390653530698877, Res_Loss: 0.6429508597871592, Clf_Loss: 0.6351798483560425
Epoch 79, Loss: 0.6393083318374878, Res_Loss: 0.646056077074866, Clf_Loss: 0.6325605934550769
Epoch 80, Loss: 0.6413191571658434, Res_Loss: 0.648060783830493, Clf_Loss: 0.634577532136423
Epoch 81, Loss: 0.6419286043491474, Res_Loss: 0.6484244847020437, Clf_Loss: 0.635432725230795
Epoch 82, Loss: 0.6407757437852926, Res_Loss: 0.6483069260626338, Clf_Loss: 0.6332445664786149
Epoch 83, Loss: 0.6419059635941372, Res_Loss: 0.650828363677097, Clf_Loss: 0.6329835571868475
Epoch 84, Loss: 0.6422451547411985, Res_Loss: 0.6520295440284318, Clf_Loss: 0.6324607655839172
Epoch 85, Loss: 0.6436949740488862, Res_Loss: 0.6524435193386189, Clf_Loss: 0.6349464261276258
Epoch 86, Loss: 0.6421936340630054, Res_Loss: 0.6519589645918026, Clf_Loss: 0.632428303848259
Epoch 87, Loss: 0.6422947319441064, Res_Loss: 0.6523712598826996, Clf_Loss: 0.6322182009841294
Epoch 88, Loss: 0.6421609150115833, Res_Loss: 0.6520782381642697, Clf_Loss: 0.6322435920105077
Epoch 89, Loss: 0.6427839152341666, Res_Loss: 0.6528259060064028, Clf_Loss: 0.6327419228916771
Epoch 90, Loss: 0.6427993286660937, Res_Loss: 0.6529120576762876, Clf_Loss: 0.6326865944686497
Epoch 91, Loss: 0.6410256126072518, Res_Loss: 0.6498542359575282, Clf_Loss: 0.6321969864630076
Epoch 92, Loss: 0.6411095641033594, Res_Loss: 0.6481589919259382, Clf_Loss: 0.6340601293933253
Epoch 93, Loss: 0.6400135795390883, Res_Loss: 0.6477446590745172, Clf_Loss: 0.6322824951737772
Epoch 94, Loss: 0.6397105646861154, Res_Loss: 0.64768922069045, Clf_Loss: 0.6317319080536795
Epoch 95, Loss: 0.6389633671835412, Res_Loss: 0.6472667474732843, Clf_Loss: 0.6306599898177178
Epoch 96, Loss: 0.6419915764830834, Res_Loss: 0.6477477399762287, Clf_Loss: 0.6362354137588205
Epoch 97, Loss: 0.6420846759926441, Res_Loss: 0.646702993227992, Clf_Loss: 0.6374663568296751
Epoch 98, Loss: 0.6440366514373658, Res_Loss: 0.6500893311445103, Clf_Loss: 0.6379839694993787
Epoch 99, Loss: 0.6404596181629703, Res_Loss: 0.6486179809584174, Clf_Loss: 0.6323012611070691
Epoch 100, Loss: 0.6424558244992135, Res_Loss: 0.6501522246141767, Clf_Loss: 0.6347594272865112
tensor(0.1871)
0.4381811678409575
Accuracy with mean threshold: 0.7538535024381096
Recall with mean threshold: 0.7538535024381096
Precision with mean threshold: 0.9266788456115863
